Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/Coleco/Manuals/2010 - The Graphic Action Game.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2F2010%20-%20The%20Graphic%20Action%20Game.pdf,1002842,af02629b63dd68ef5a5a15f4a48bfb0c,,,2010 - The Graphic Action Game.pdf
docs/Coleco/Manuals/A.E..pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FA.E..pdf,605220,13986a83c00b17e285cd58a6bfd5cf66,,,A.E..pdf
"docs/Coleco/Manuals/Activision Decathlon, The.pdf",https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FActivision%20Decathlon%2C%20The.pdf,315180,16ab98a226d42116f63bf6a6e3e6b7de,,,"Activision Decathlon, The.pdf"
docs/Coleco/Manuals/Alcazar - The Forgotten Fortress.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FAlcazar%20-%20The%20Forgotten%20Fortress.pdf,476631,e0753a983cb6d8121637d884aaaa1cab,,,Alcazar - The Forgotten Fortress.pdf
docs/Coleco/Manuals/Alphabet Zoo.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FAlphabet%20Zoo.pdf,476921,fe154ffa745bb7a6448b2c62bb23830e,,,Alphabet Zoo.pdf
docs/Coleco/Manuals/Antarctic Adventure.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FAntarctic%20Adventure.pdf,380337,5d3ecd75c25550d5a00488a508061c2c,,,Antarctic Adventure.pdf
docs/Coleco/Manuals/Aquattack.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FAquattack.pdf,677747,17434a8814e3e17e17d3ba8d93a237b3,,,Aquattack.pdf
docs/Coleco/Manuals/Artillery Duel.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FArtillery%20Duel.pdf,1314586,69224ba12e0d05c7646965be1d3d1ab9,,,Artillery Duel.pdf
docs/Coleco/Manuals/BC's Quest for Tires .pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FBC_s%20Quest%20for%20Tires%20.pdf,240448,f03308ad6f27b13845b48e15e8c1da9c,,,BC_s Quest for Tires .pdf
docs/Coleco/Manuals/BC's Quest for Tires II - Grog's Revenge.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FBC_s%20Quest%20for%20Tires%20II%20-%20Grog_s%20Revenge.pdf,487831,d84d013fa3bd6e7eeccf16b47fe2acbf,,,BC_s Quest for Tires II - Grog_s Revenge.pdf
docs/Coleco/Manuals/Beamrider.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FBeamrider.pdf,404757,a7adcfa0c48da06b4f8bbf48e79d49ce,,,Beamrider.pdf
docs/Coleco/Manuals/Blockade Runner.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FBlockade%20Runner.pdf,1259802,073c93eb2030c3801636ccdbdffb0223,,,Blockade Runner.pdf
docs/Coleco/Manuals/Boulder Dash.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FBoulder%20Dash.pdf,641429,bd95551960499cccd51bbce6030d34cf,,,Boulder Dash.pdf
docs/Coleco/Manuals/Brain Strainers.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FBrain%20Strainers.pdf,747006,e2ec2106067bd0f714981822509036fa,,,Brain Strainers.pdf
docs/Coleco/Manuals/Buck Rogers - Planet of Zoom.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FBuck%20Rogers%20-%20Planet%20of%20Zoom.pdf,630638,f325a6fbc93e82a612bcb336e2dd6981,,,Buck Rogers - Planet of Zoom.pdf
docs/Coleco/Manuals/Bump 'n' Jump.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FBump%20_n_%20Jump.pdf,646689,b8b6a6ddafcb9d4335aec2ebb7714928,,,Bump _n_ Jump.pdf
docs/Coleco/Manuals/BurgerTime.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FBurgerTime.pdf,608660,3567221ea3d3b988980d17fb485282d3,,,BurgerTime.pdf
docs/Coleco/Manuals/Cabbage Patch Kids - Adventures in the Park.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FCabbage%20Patch%20Kids%20-%20Adventures%20in%20the%20Park.pdf,492929,bd5187b98551fcf882d1ae340f50cd45,,,Cabbage Patch Kids - Adventures in the Park.pdf
docs/Coleco/Manuals/Cabbage Patch Kids - Picture Show.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FCabbage%20Patch%20Kids%20-%20Picture%20Show.pdf,3017543,9c9d6fe5a584ecde9d4d0fa48498463b,,,Cabbage Patch Kids - Picture Show.pdf
docs/Coleco/Manuals/Campaign '84.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FCampaign%20_84.pdf,143245,232f22c4e43f61ee63f57abdc50fe967,,,Campaign _84.pdf
docs/Coleco/Manuals/Carnival.pdf,https://archive.org/download/mister-manuals/1982_ColecoVision.zip/1982_ColecoVision%2FCarnival.pdf,341037,5bd4cd580b61b8ed946dccf5c27fa759,,,Carnival.pdf
